avg_rating,median_rating,rating_std,num_ratings,rating_distribution,vader_compound_mean,vader_compound_std,vader_positive_mean,vader_negative_mean,vader_neutral_mean,textblob_polarity_mean,textblob_polarity_std,num_reviews_with_text,title,rotten_tomatoes_slug
3.025,3.5,1.6083765106466832,20,"{""3.0"": 1, ""4.5"": 2, ""4.0"": 2, ""1.5"": 2, ""3.5"": 3, ""0.5"": 3, ""5.0"": 4, ""2.5"": 1, ""2.0"": 1, ""1.0"": 1}",0.4675449999999999,0.6471884528288495,0.3245,0.1058,0.5697,0.08803614267676767,0.37409709582934464,20,Resort to Love,resort_to_love
2.55,2.5,1.4654350889752845,20,"{""0.5"": 3, ""1.0"": 3, ""2.5"": 2, ""2.0"": 3, ""3.0"": 2, ""5.0"": 2, ""4.0"": 2, ""4.5"": 1, ""3.5"": 2}",-0.006579999999999991,0.6806299916988672,0.15960000000000002,0.1417,0.6986000000000001,-0.02411865882959633,0.31353626962177306,20,Aftermath,aftermath_2024
4.175,4.0,0.8257572282456872,20,"{""5.0"": 7, ""4.0"": 8, ""1.5"": 1, ""3.5"": 3, ""4.5"": 1}",0.6176800000000001,0.4265052316209028,0.2987,0.0118,0.6895,0.398322312731911,0.2993781194331665,20,Vivo,vivo
3.025,3.0,0.9807522622966515,20,"{""3.0"": 8, ""1.0"": 1, ""4.5"": 1, ""4.0"": 5, ""2.0"": 1, ""3.5"": 1, ""2.5"": 2, ""0.5"": 1}",0.53262,0.3991316093721468,0.19770000000000001,0.06389999999999998,0.7385499999999999,0.16188277331134474,0.22909120689357335,20,The Vault,the_vault_2021
3.475,3.5,1.145371118895531,20,"{""5.0"": 4, ""4.0"": 5, ""3.0"": 2, ""0.5"": 1, ""2.0"": 2, ""3.5"": 4, ""2.5"": 2}",0.5164850000000001,0.5266821425442484,0.24219999999999997,0.05994999999999999,0.6979,0.21402691590191586,0.18207455326516508,20,The Losers,1226860-losers
2.975,3.0,1.4788086421170252,20,"{""5.0"": 4, ""2.5"": 3, ""0.5"": 3, ""1.0"": 1, ""4.0"": 3, ""3.0"": 4, ""3.5"": 1, ""2.0"": 1}",0.27368999999999993,0.6887205201676512,0.2064,0.10685,0.68675,0.0687647629793113,0.35412286150072925,20,Hotel Transylvania 3: Summer Vacation,hotel_transylvania_3_summer_vacation
3.15,3.0,1.2051970793193951,20,"{""1.0"": 2, ""5.0"": 4, ""3.5"": 3, ""3.0"": 6, ""2.5"": 2, ""2.0"": 1, ""1.5"": 1, ""4.0"": 1}",0.13584999999999997,0.6133515757703734,0.14340000000000003,0.11635,0.7402,0.07860038541949246,0.26035936765490736,20,Dead Man Down,dead_man_down_2013
3.275,3.5,1.2497499749949987,20,"{""5.0"": 4, ""1.0"": 1, ""2.0"": 3, ""3.5"": 6, ""3.0"": 3, ""4.0"": 2, ""0.5"": 1}",0.221065,0.6126479480705048,0.16670000000000001,0.09565,0.7376500000000001,0.18946389233831185,0.2573542113461078,20,World Trade Center,world_trade_center
1.875,1.5,1.5155444566227676,20,"{""2.0"": 2, ""0.5"": 7, ""2.5"": 4, ""1.5"": 2, ""5.0"": 3, ""1.0"": 2}",0.09405499999999997,0.6230219735089606,0.15520000000000003,0.1799,0.6649999999999999,-0.02502908292104721,0.26915534132348623,20,The Kissing Booth 3,the_kissing_booth_3
2.4,2.25,1.2000000000000002,20,"{""4.0"": 4, ""1.5"": 3, ""1.0"": 4, ""3.5"": 3, ""2.0"": 2, ""2.5"": 1, ""3.0"": 2, ""0.5"": 1}",-0.015850000000000006,0.6814946357088953,0.13955000000000004,0.1428,0.7175499999999999,0.02351472401578334,0.225637314770303,20,Beckett,beckett
