week,hours_viewed_sum,hours_viewed_mean,hours_viewed_std,hours_viewed_min,hours_viewed_max,weeks_in_top10_mean,ranking_nunique,avg_rating_mean,rating_std_mean,num_ratings_sum,vader_compound_mean_mean,vader_positive_mean_mean,vader_negative_mean_mean,textblob_polarity_mean_mean,num_reviews_with_text_sum,total_hours_next_week,hours_pct_change,engagement_decline,year,month,week_of_year,hours_lag_1,sentiment_lag_1,hours_lag_2,sentiment_lag_2,hours_lag_3,sentiment_lag_3,hours_lag_4,sentiment_lag_4,hours_ma_4week,sentiment_ma_4week
2021-12-19,202430000,20243000.0,21436998.675706033,7270000,74440000,5.0,10,3.65,1.4169879924638362,183,0.49376066666666674,0.237845,0.071,0.21888657364752268,183,265760000.0,0.31284888603467864,0,2021,12,50,192530000.0,0.377435,169840000.0,0.48865949999999997,226440000.0,0.4380085,255070000.0,0.4418755,197810000.0,0.4494659166666667
2021-12-26,265760000,26576000.0,30450748.649800606,9120000,111030000,5.9,10,3.59,1.4155657998467526,183,0.4347926666666667,0.225675,0.07904,0.1998129016562983,183,272420000.0,0.025060204695966284,0,2021,12,51,202430000.0,0.49376066666666674,192530000.0,0.377435,169840000.0,0.48865949999999997,226440000.0,0.4380085,207640000.0,0.44866195833333333
2022-01-02,272420000,27242000.0,44243598.85904401,5430000,152290000,4.8,10,3.4,1.3960738802579673,200,0.306024,0.20283,0.10225500000000001,0.16541163302070191,200,184480000.0,-0.32281036634608323,1,2022,1,52,265760000.0,0.4347926666666667,202430000.0,0.49376066666666674,192530000.0,0.377435,169840000.0,0.48865949999999997,233285000.0,0.40300308333333335
2022-01-09,184480000,18448000.0,15332972.31459054,9960000,58200000,4.8,10,3.2475,1.4183635725275032,200,0.3593235,0.200665,0.083615,0.15567309498540555,200,155830000.0,-0.15530138768430182,1,2022,1,1,272420000.0,0.306024,265760000.0,0.4347926666666667,202430000.0,0.49376066666666674,192530000.0,0.377435,231272500.0,0.3984752083333334
2022-01-16,155830000,15583000.0,12779943.531434976,7000000,45340000,5.4,10,3.245,1.3803535086498104,200,0.3215325,0.21427999999999997,0.09044,0.1501084059127961,200,155880000.0,0.00032086247834178273,0,2022,1,2,184480000.0,0.3593235,272420000.0,0.306024,265760000.0,0.4347926666666667,202430000.0,0.49376066666666674,219622500.0,0.3554181666666667
2022-01-23,155880000,15588000.0,11707120.150669942,5330000,42490000,5.4,10,3.0275,1.447454907201029,200,0.294474,0.20560499999999998,0.091525,0.13255234103454686,200,112340000.0,-0.2793174236592251,1,2022,1,3,155830000.0,0.3215325,184480000.0,0.3593235,272420000.0,0.306024,265760000.0,0.4347926666666667,192152500.0,0.3203385
2022-01-30,112340000,11234000.0,7655418.12487513,4870000,26580000,5.7,10,2.84,1.4596598216038206,200,0.19833399999999998,0.18596,0.106595,0.10338790926709703,200,151610000.0,0.3495638241053943,0,2022,1,4,155880000.0,0.294474,155830000.0,0.3215325,184480000.0,0.3593235,272420000.0,0.306024,152132500.0,0.293416
2022-02-06,151610000,15161000.0,13536166.739516767,6370000,45800000,5.5,10,3.2055555555555557,1.2986631225456107,180,0.22122833333333333,0.19621111111111111,0.10203888888888889,0.15973797152862598,180,164410000.0,0.08442714860497329,0,2022,2,5,112340000.0,0.19833399999999998,155880000.0,0.294474,155830000.0,0.3215325,184480000.0,0.3593235,143915000.0,0.2588922083333334
2022-02-13,164410000,16441000.0,18124842.650657993,5360000,64700000,5.8,10,3.341666666666667,1.3405820075237864,180,0.34297055555555556,0.20782222222222224,0.09288888888888888,0.19036871303839525,180,153400000.0,-0.06696672951766924,0,2022,2,6,151610000.0,0.22122833333333333,112340000.0,0.19833399999999998,155880000.0,0.294474,155830000.0,0.3215325,146060000.0,0.26425172222222226
2022-02-20,153400000,15340000.0,10108599.199581403,7030000,34450000,4.6,10,3.3475,1.2622789585707985,200,0.22164200000000003,0.20811000000000002,0.10645,0.17338813404724057,200,119250000.0,-0.2226205997392438,1,2022,2,7,164410000.0,0.34297055555555556,151610000.0,0.22122833333333333,112340000.0,0.19833399999999998,155880000.0,0.294474,145440000.0,0.2460437222222222
2022-02-27,119250000,11925000.0,8207468.482357328,4970000,31560000,6.3,10,3.21,1.3143441027290346,200,0.254732,0.22287500000000002,0.09807,0.17700163944230846,200,166620000.0,0.39723270440251573,0,2022,2,8,153400000.0,0.22164200000000003,164410000.0,0.34297055555555556,151610000.0,0.22122833333333333,112340000.0,0.19833399999999998,147167500.0,0.26014322222222225
2022-03-06,166620000,16662000.0,12912081.164552832,6710000,44450000,6.0,10,3.875,1.0154896843235433,200,0.44839,0.26783999999999997,0.058215,0.28828102076819134,200,185200000.0,0.1115112231424799,0,2022,3,9,119250000.0,0.254732,153400000.0,0.22164200000000003,164410000.0,0.34297055555555556,151610000.0,0.22122833333333333,150920000.0,0.3169336388888889
2022-03-13,185200000,18520000.0,26675618.913990434,5450000,92430000,6.8,10,3.925,1.0042521364267623,200,0.4886425,0.265105,0.05006000000000001,0.29879318617591705,200,175830000.0,-0.050593952483801295,0,2022,3,10,166620000.0,0.44839,119250000.0,0.254732,153400000.0,0.22164200000000003,164410000.0,0.34297055555555556,156117500.0,0.353351625
2022-03-20,175830000,17583000.0,24143216.231480014,5790000,85360000,5.4,10,3.19,1.1049473630395656,181,0.40374,0.22763,0.062115,0.2091705694495344,200,122320000.0,-0.3043280441335381,1,2022,3,11,185200000.0,0.4886425,166620000.0,0.44839,119250000.0,0.254732,153400000.0,0.22164200000000003,161725000.0,0.39887612499999997
2022-03-27,122320000,12232000.0,8175480.68583398,5750000,31700000,6.2,10,3.3175000000000003,1.27440303597164,200,0.3868065,0.23184999999999997,0.07689499999999999,0.18107293050262058,200,95910000.0,-0.2159090909090909,1,2022,3,12,175830000.0,0.40374,185200000.0,0.4886425,166620000.0,0.44839,119250000.0,0.254732,162492500.0,0.43189475
2022-04-03,95910000,9591000.0,3602512.8575605233,6140000,17720000,3.3,10,3.3551923076923074,1.3502254146850592,193,0.3304604230769231,0.22589615384615386,0.08756038461538461,0.19916769116932181,193,95600000.0,-0.0032321968512146805,0,2022,4,13,122320000.0,0.3868065,175830000.0,0.40374,185200000.0,0.4886425,166620000.0,0.44839,144815000.0,0.40241235576923073
2022-04-10,95600000,9560000.0,6439806.7603858365,4550000,26770000,4.6,10,3.562948717948718,2.081215021838248,188,0.2842268333333333,0.19883944444444443,0.09296499999999999,0.19064881106460183,193,115640000.0,0.2096234309623431,0,2022,4,14,95910000.0,0.3304604230769231,122320000.0,0.3868065,175830000.0,0.40374,185200000.0,0.4886425,122415000.0,0.3513084391025641
